# Samples Generated by Stan
# stan_version_major=1
# stan_version_minor=3
# stan_version_patch=0
# init=random
# append_samples=0
# seed=1405435606
# chain_id=2
# chain_id_src=user
# iter=200
# warmup=100
# save_warmup=1
# thin=1
# leapfrog_steps=-1
# max_treedepth=10
# epsilon=-1
# equal_step_sizes=0
# epsilon_pm=0
# delta=0.5
# gamma=0.05
# nondiag_mass=0
# sample_file=./rstan_doc_ex_2.csv
#
lp__,accept_stat__,stepsize__,treedepth__,mu,sigma,z.1.1,z.2.1,z.3.1,z.1.2,z.2.2,z.3.2,alpha
-18.1806,1,1.19033,1,0.344478,1.08505,2.66878,-0.69122,0.259786,-0.634527,-0.291031,1.11234,0.459287
-18.1806,0.000282984,1.19033,1,0.344478,1.08505,2.66878,-0.69122,0.259786,-0.634527,-0.291031,1.11234,0.459287
-18.1806,1.00056e-09,1.19033,1,0.344478,1.08505,2.66878,-0.69122,0.259786,-0.634527,-0.291031,1.11234,0.459287
-18.1806,0.00678875,1.19033,1,0.344478,1.08505,2.66878,-0.69122,0.259786,-0.634527,-0.291031,1.11234,0.459287
-17.6721,1,1.19033,1,-0.111448,1.10945,-2.35567,0.711499,-0.659526,0.14675,0.0237076,-1.45781,0.476445
-17.1613,0.515486,1.19033,1,-0.208967,1.09792,1.73308,0.86057,0.330724,-1.02435,-0.228165,-0.652036,0.115834
-15.7811,0.311847,1.19033,1,-0.00380849,1.26505,0.711844,-0.510319,-1.17085,0.662366,-1.4014,0.171246,0.684993
-15.7811,0.0721575,1.19033,1,-0.00380849,1.26505,0.711844,-0.510319,-1.17085,0.662366,-1.4014,0.171246,0.684993
-15.7811,2.78668e-27,1.19033,1,-0.00380849,1.26505,0.711844,-0.510319,-1.17085,0.662366,-1.4014,0.171246,0.684993
-15.7811,4.30522e-06,1.19033,1,-0.00380849,1.26505,0.711844,-0.510319,-1.17085,0.662366,-1.4014,0.171246,0.684993
-16.4337,0.924005,1.19033,1,0.189476,1.03909,-1.23114,1.28877,1.04434,-1.29576,0.800267,-0.209413,0.39491
-17.1679,1.08629e-05,1.19033,1,0.0994316,1.23383,2.00148,0.396802,-1.2077,0.686589,-0.968429,0.385314,0.198216
-17.7159,2.88948e-07,1.19033,1,-0.00777326,1.17312,0.175632,0.684521,0.182623,-1.54912,-1.02456,-1.60591,0.0581179
-17.7159,3.18058e-05,1.19033,1,-0.00777326,1.17312,0.175632,0.684521,0.182623,-1.54912,-1.02456,-1.60591,0.0581179
-16.7246,1,1.19033,1,0.121512,1.18908,0.223733,-1.07152,-0.222834,1.33825,1.25751,1.49297,0.859549
-18.9076,0.494335,1.19033,1,0.214036,1.15139,-2.97308,-0.307364,-0.451937,-0.920358,0.895407,0.775369,0.324882
-17.9183,0.911946,1.19033,1,0.156294,1.13989,2.05353,0.254239,0.426654,1.73166,-1.42766,-0.473498,0.591123
-17.9183,0.00729868,1.19033,1,0.156294,1.13989,2.05353,0.254239,0.426654,1.73166,-1.42766,-0.473498,0.591123
-17.9183,3.47387e-58,1.19033,1,0.156294,1.13989,2.05353,0.254239,0.426654,1.73166,-1.42766,-0.473498,0.591123
